buildingID,title,poso,plirothike,date_created
14,ΔΕΥΑΠ 24/08/22-22/12/22,14.00,true,2023-04-21 10:43:39.916608 +00:00
14,ΔΕΗ 16/01/23-12/03/23,48.50,true,2023-04-21 10:43:00.478346 +00:00
14,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,45.00,false,2023-04-21 10:27:51.951634 +00:00
14,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,27.00,false,2023-04-21 10:27:47.992479 +00:00
14,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,5.00,false,2023-04-21 10:27:44.265533 +00:00
14,ΔΙΑΧ/ΚΑ,31.50,false,2023-04-21 10:27:39.664429 +00:00
3,ΘΕΡΜΑΝΣΗ-ΚΑΤΑΝΑΛΩΣΗ,610.00,true,2023-04-21 09:37:50.103585 +00:00
3,ΘΕΡΜΑΝΣΗ-ΚΑΤΑΝΑΛΩΣΗ,325.00,true,2023-04-21 09:36:46.523021 +00:00
3,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,105.00,true,2023-04-21 09:34:26.263357 +00:00
3,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,60.00,true,2023-04-21 09:34:22.233964 +00:00
3,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,10.00,true,2023-04-21 09:34:17.715820 +00:00
3,ΔΙΑΧ/ΚΑ,80.50,true,2023-04-21 09:34:13.845887 +00:00
2,ΡΕΥΜΑ ΗΡΩΝ ,38.65,true,2023-04-21 09:28:24.850943 +00:00
2,ΔΙΑΧ/ΚΑ,10.50,false,2023-04-21 09:24:11.310949 +00:00
2,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,35.00,false,2023-04-21 09:24:07.783141 +00:00
2,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,40.00,true,2023-04-21 09:24:04.472205 +00:00
183,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.77,true,2023-04-21 09:22:41.020128 +00:00
183,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.36,true,2023-04-21 09:22:40.878063 +00:00
183,ΔΕΗ 09/01/23-05/03/23,239.50,true,2023-04-21 09:21:30.935217 +00:00
183,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,55.00,true,2023-04-21 09:12:24.869594 +00:00
183,ΔΙΑΧ/ΚΑ,85.00,true,2023-04-21 09:12:21.580762 +00:00
183,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,50.00,false,2023-04-21 09:12:18.118418 +00:00
197,ΚΑΘΑΡΙΣΜΟΣ,25.00,false,2023-04-21 09:06:17.798504 +00:00
197,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,30.00,false,2023-04-21 09:05:35.137737 +00:00
197,ΚΗΠΟΥΡΟΣ ,130.00,false,2023-04-21 09:01:07.402487 +00:00
197,ΚΗΠΟΥΡΟΣ ,20.00,false,2023-04-21 09:00:33.896454 +00:00
197,ΔΕΥΑΠ 08/22-12/22 & 12/22-02/23,284.00,true,2023-04-21 08:56:58.609331 +00:00
197,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,35.00,true,2023-04-21 08:07:40.969508 +00:00
